"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","417.44","414.30","424.06","410.88","51.43M","0.09%"
"02/12/2026","417.07","430.30","436.23","414.00","61.93M","-2.62%"
"02/11/2026","428.27","427.95","436.35","420.03","57.36M","0.72%"
"02/10/2026","425.21","418.08","427.25","417.00","64.45M","1.89%"
"02/09/2026","417.32","409.90","421.25","407.29","54.48M","1.51%"
"02/06/2026","411.11","400.87","414.55","397.75","62.68M","3.50%"
"02/05/2026","397.21","397.02","402.10","387.53","72.82M","-2.17%"
"02/04/2026","406.01","420.46","423.90","399.18","74.61M","-3.78%"
"02/03/2026","421.96","424.27","428.56","413.69","56.89M","0.04%"
"02/02/2026","421.81","421.29","427.15","414.50","58.74M","-2.00%"
"01/30/2026","430.41","425.35","439.88","422.70","82.63M","3.32%"
"01/29/2026","416.56","437.80","440.23","414.62","81.69M","-3.45%"
"01/28/2026","431.46","431.91","438.26","430.10","54.86M","0.13%"
"01/27/2026","430.90","437.41","437.52","430.69","37.73M","-0.99%"
"01/26/2026","435.20","445.00","445.04","434.28","49.40M","-3.09%"
"01/23/2026","449.06","447.42","452.43","444.04","56.77M","-0.07%"
"01/22/2026","449.36","435.16","449.50","432.63","71.55M","4.15%"
"01/21/2026","431.44","421.66","438.20","419.62","68.12M","2.91%"
"01/20/2026","419.25","429.36","430.73","417.44","63.19M","-4.17%"
"01/16/2026","437.50","439.50","447.25","435.26","60.22M","-0.24%"
"01/15/2026","438.57","441.13","445.36","437.65","49.47M","-0.14%"
"01/14/2026","439.20","442.81","443.91","434.22","57.26M","-1.79%"